 displacement,ex,ey,exy,e1,e2,e12
    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
    0.000010,    0.000000,    0.000010,    0.000000,    0.000005,    0.000005,    0.000010
    0.000020,    0.000000,    0.000020,    0.000000,    0.000010,    0.000010,    0.000020
    0.000030,    0.000000,    0.000030,    0.000000,    0.000015,    0.000015,    0.000030
    0.000040,    0.000000,    0.000040,    0.000000,    0.000020,    0.000020,    0.000040
    0.000050,    0.000000,    0.000050,    0.000000,    0.000025,    0.000025,    0.000050
    0.000060,    0.000000,    0.000060,    0.000000,    0.000030,    0.000030,    0.000060
    0.000070,    0.000000,    0.000070,    0.000000,    0.000035,    0.000035,    0.000070
    0.000080,    0.000000,    0.000080,    0.000000,    0.000040,    0.000040,    0.000080
    0.000090,    0.000000,    0.000090,    0.000000,    0.000045,    0.000045,    0.000090
    0.000100,    0.000000,    0.000100,    0.000000,    0.000050,    0.000050,    0.000100
    0.000110,    0.000000,    0.000110,    0.000000,    0.000055,    0.000055,    0.000110
    0.000120,    0.000000,    0.000120,    0.000000,    0.000060,    0.000060,    0.000120
    0.000130,    0.000000,    0.000130,    0.000000,    0.000065,    0.000065,    0.000130
    0.000140,    0.000000,    0.000140,    0.000000,    0.000070,    0.000070,    0.000140
    0.000150,    0.000000,    0.000150,    0.000000,    0.000075,    0.000075,    0.000150
    0.000160,    0.000000,    0.000160,    0.000000,    0.000080,    0.000080,    0.000160
    0.000170,    0.000000,    0.000170,    0.000000,    0.000085,    0.000085,    0.000170
    0.000180,    0.000000,    0.000180,    0.000000,    0.000090,    0.000090,    0.000180
    0.000190,    0.000000,    0.000190,    0.000000,    0.000095,    0.000095,    0.000190
    0.000200,    0.000000,    0.000200,    0.000000,    0.000100,    0.000100,    0.000200
    0.000210,    0.000000,    0.000210,    0.000000,    0.000105,    0.000105,    0.000210
    0.000220,    0.000000,    0.000220,    0.000000,    0.000110,    0.000110,    0.000220
    0.000230,    0.000000,    0.000230,    0.000000,    0.000115,    0.000115,    0.000230
    0.000240,    0.000000,    0.000240,    0.000000,    0.000120,    0.000120,    0.000240
    0.000250,    0.000000,    0.000250,    0.000000,    0.000125,    0.000125,    0.000250
    0.000260,    0.000000,    0.000260,    0.000000,    0.000130,    0.000130,    0.000260
    0.000270,    0.000000,    0.000270,    0.000000,    0.000135,    0.000135,    0.000270
    0.000280,    0.000000,    0.000280,    0.000000,    0.000140,    0.000140,    0.000280
    0.000290,    0.000000,    0.000290,    0.000000,    0.000145,    0.000145,    0.000290
    0.000300,    0.000000,    0.000300,    0.000000,    0.000150,    0.000150,    0.000300
    0.000310,    0.000000,    0.000310,    0.000000,    0.000155,    0.000155,    0.000310
    0.000320,    0.000000,    0.000320,    0.000000,    0.000160,    0.000160,    0.000320
    0.000330,    0.000000,    0.000330,    0.000000,    0.000165,    0.000165,    0.000330
    0.000340,    0.000000,    0.000340,    0.000000,    0.000170,    0.000170,    0.000340
    0.000350,    0.000000,    0.000350,    0.000000,    0.000175,    0.000175,    0.000350
    0.000360,    0.000000,    0.000360,    0.000000,    0.000180,    0.000180,    0.000360
    0.000370,    0.000000,    0.000370,    0.000000,    0.000185,    0.000185,    0.000370
    0.000380,    0.000000,    0.000380,    0.000000,    0.000190,    0.000190,    0.000380
    0.000390,    0.000000,    0.000390,    0.000000,    0.000195,    0.000195,    0.000390
    0.000400,    0.000000,    0.000400,    0.000000,    0.000200,    0.000200,    0.000400
    0.000410,    0.000000,    0.000410,    0.000000,    0.000205,    0.000205,    0.000410
    0.000420,    0.000000,    0.000420,    0.000000,    0.000210,    0.000210,    0.000420
    0.000430,    0.000000,    0.000430,    0.000000,    0.000215,    0.000215,    0.000430
    0.000440,    0.000000,    0.000440,    0.000000,    0.000220,    0.000220,    0.000440
    0.000450,    0.000000,    0.000450,    0.000000,    0.000225,    0.000225,    0.000450
    0.000460,    0.000000,    0.000460,    0.000000,    0.000230,    0.000230,    0.000460
    0.000470,    0.000000,    0.000470,    0.000000,    0.000235,    0.000235,    0.000470
    0.000480,    0.000000,    0.000480,    0.000000,    0.000240,    0.000240,    0.000480
    0.000490,    0.000000,    0.000490,    0.000000,    0.000245,    0.000245,    0.000490
    0.000500,    0.000000,    0.000500,    0.000000,    0.000250,    0.000250,    0.000500
    0.000510,    0.000000,    0.000510,    0.000000,    0.000255,    0.000255,    0.000510
    0.000520,    0.000000,    0.000520,    0.000000,    0.000260,    0.000260,    0.000520
    0.000530,    0.000000,    0.000530,    0.000000,    0.000265,    0.000265,    0.000530
    0.000540,    0.000000,    0.000540,    0.000000,    0.000270,    0.000270,    0.000540
